;Scopy version,438f138
;Exported on,Thursday September 25/09/2025
;Device,M2K
;Nr of samples,1600
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
593,-0.0207,-2.57964,-0.0597199
594,-0.0206,-2.56221,-0.0597199
595,-0.0205,-2.59707,-0.0597199
596,-0.0204,-2.57964,-0.0597199
597,-0.0203,-2.57964,-0.0597199
598,-0.0202,-2.57964,-0.0597199
599,-0.0201,-2.57964,-0.0597199
600,-0.02,-2.57964,-0.0597199
601,-0.0199,-2.57964,-0.0597199
602,-0.0198,-2.57964,-0.0597199
603,-0.0197,-2.57964,-0.0597199
604,-0.0196,-2.57964,-0.0597199
605,-0.0195,-2.57964,-0.0597199
606,-0.0194,-2.57964,-0.0597199
607,-0.0193,-2.57964,-0.0597199
608,-0.0192,-2.57964,-0.0597199
609,-0.0191,-2.57964,-0.0597199
610,-0.019,-2.57964,-0.0597199
611,-0.0189,-2.57964,-0.0597199
612,-0.0188,-2.57964,-0.0597199
613,-0.0187,-2.57964,-0.0597199
614,-0.0186,-2.57964,-0.0597199
615,-0.0185,-2.57964,-0.0597199
616,-0.0184,-2.57964,-0.0597199
617,-0.0183,-2.57964,-0.0597199
618,-0.0182,-2.57964,-0.0597199
619,-0.0181,-2.57964,-0.0597199
620,-0.018,-2.57964,-0.0597199
621,-0.0179,-2.57964,-0.0597199
622,-0.0178,-2.57964,-0.0597199
623,-0.0177,-2.57964,-0.0597199
624,-0.0176,-2.57964,-0.0597199
625,-0.0175,-2.57964,-0.0597199
626,-0.0174,-2.57964,-0.0597199
627,-0.0173,-2.57964,-0.0597199
628,-0.0172,-2.57964,-0.0597199
629,-0.0171,-2.57964,-0.0597199
630,-0.017,-2.57964,-0.0597199
631,-0.0169,-2.57964,-0.0597199
632,-0.0168,-2.57964,-0.0597199
633,-0.0167,-2.57964,-0.0597199
634,-0.0166,-2.57964,-0.0597199
635,-0.0165,-2.57964,-0.0597199
636,-0.0164,-2.57964,-0.0597199
637,-0.0163,-2.57964,-0.0597199
638,-0.0162,-2.57964,-0.0597199
639,-0.0161,-2.57964,-0.0597199
640,-0.016,-2.57964,-0.0597199
641,-0.0159,-2.57964,-0.0597199
642,-0.0158,-2.57964,-0.0597199
643,-0.0157,-2.57964,-0.0597199
644,-0.0156,-2.57964,-0.0597199
645,-0.0155,-2.57964,-0.0597199
646,-0.0154,-2.57964,-0.0597199
647,-0.0153,-2.57964,-0.0597199
648,-0.0152,-2.57964,-0.0597199
649,-0.0151,-2.57964,-0.0597199
650,-0.015,-2.57964,-0.0597199
651,-0.0149,-2.57964,-0.0597199
652,-0.0148,-2.57964,-0.0597199
653,-0.0147,-2.57964,-0.0597199
654,-0.0146,-2.57964,-0.0597199
655,-0.0145,-2.57964,-0.0597199
656,-0.0144,-2.57964,-0.0597199
